X1_transaction_date,X2_house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
2012.92,32.00,84.88,10.00,24.98,121.54,37.90
2012.92,19.50,306.59,9.00,24.98,121.54,42.20
2013.58,13.30,561.98,5.00,24.99,121.54,47.30
2013.50,13.30,561.98,5.00,24.99,121.54,54.80
2012.83,5.00,390.57,5.00,24.98,121.54,43.10
2012.67,7.10,2175.03,3.00,24.96,121.51,32.10
2012.67,34.50,623.47,7.00,24.98,121.54,40.30
2013.42,20.30,287.60,6.00,24.98,121.54,46.70
2013.50,31.70,5512.04,1.00,24.95,121.48,18.80
2013.42,17.90,1783.18,3.00,24.97,121.51,22.10
2013.08,34.80,405.21,1.00,24.97,121.53,41.40
2013.33,6.30,90.46,9.00,24.97,121.54,58.10
2012.92,13.00,492.23,5.00,24.97,121.54,39.30
2012.67,20.40,2469.65,4.00,24.96,121.51,23.80
2013.50,13.20,1164.84,4.00,24.99,121.53,34.30
2013.58,35.70,579.21,2.00,24.98,121.55,50.50
2013.25,0.00,293.00,6.00,24.98,121.54,70.10
2012.75,17.70,350.85,1.00,24.98,121.53,37.40
2013.42,16.90,368.14,8.00,24.97,121.54,42.30
2012.67,1.50,23.38,7.00,24.97,121.54,47.70
2013.42,4.50,2275.88,3.00,24.96,121.51,29.30
2013.42,10.50,279.17,7.00,24.98,121.55,51.60
2012.92,14.70,1360.14,1.00,24.95,121.55,24.60
2013.08,10.10,279.17,7.00,24.98,121.55,47.90
2013.00,39.60,480.70,4.00,24.97,121.54,38.80
2013.08,29.30,1487.87,2.00,24.98,121.52,27.00
2012.67,3.10,383.86,5.00,24.98,121.54,56.20
2013.25,10.40,276.45,5.00,24.96,121.54,33.60
2013.50,19.20,557.48,4.00,24.97,121.54,47.00
2013.08,7.10,451.24,5.00,24.98,121.55,57.10
2013.50,25.90,4519.69,0.00,24.95,121.50,22.10
2012.75,29.60,769.40,7.00,24.98,121.53,25.00
2012.75,37.90,488.57,1.00,24.97,121.53,34.20
2013.25,16.50,323.66,6.00,24.98,121.54,49.30
2012.75,15.40,205.37,7.00,24.98,121.54,55.10
2013.50,13.90,4079.42,0.00,25.01,121.52,27.30
2012.92,14.70,1935.01,2.00,24.96,121.51,22.90
2013.17,12.00,1360.14,1.00,24.95,121.55,25.30
2012.67,3.10,577.96,6.00,24.97,121.55,47.70
2013.17,16.20,289.32,5.00,24.98,121.54,46.20
2013.00,13.60,4082.02,0.00,24.94,121.50,15.90
2013.50,16.80,4066.59,0.00,24.94,121.50,18.20
2013.42,36.10,519.46,5.00,24.96,121.54,34.70
2012.75,34.40,512.79,6.00,24.99,121.54,34.10
2013.58,2.70,533.48,4.00,24.97,121.55,53.90
2013.08,36.60,488.82,8.00,24.97,121.54,38.30
2013.42,21.70,463.96,9.00,24.97,121.54,42.00
2013.58,35.90,640.74,3.00,24.98,121.54,61.50
2013.42,24.20,4605.75,0.00,24.95,121.50,13.40
2012.67,29.40,4510.36,1.00,24.95,121.50,13.20
2013.42,21.70,512.55,4.00,24.97,121.54,44.20
2013.08,31.30,1758.41,1.00,24.95,121.55,20.70
2013.58,32.10,1438.58,3.00,24.97,121.52,27.00
2013.08,13.30,492.23,5.00,24.97,121.54,38.90
2013.08,16.10,289.32,5.00,24.98,121.54,51.70
2012.83,31.70,1160.63,0.00,24.95,121.53,13.70
2013.42,33.60,371.25,8.00,24.97,121.54,41.90
2012.92,3.50,56.47,7.00,24.96,121.54,53.50
2013.50,30.30,4510.36,1.00,24.95,121.50,22.60
2013.08,13.30,336.05,5.00,24.96,121.53,42.40
2013.42,11.00,1931.21,2.00,24.96,121.51,21.30
2013.50,5.30,259.66,6.00,24.98,121.55,63.20
2012.92,17.20,2175.88,3.00,24.96,121.51,27.70
2013.58,2.60,533.48,4.00,24.97,121.55,55.00
2013.33,17.50,995.76,0.00,24.96,121.55,25.30
2013.42,40.10,123.74,8.00,24.98,121.54,44.30
2013.00,1.00,193.58,6.00,24.97,121.54,50.70
2013.50,8.50,104.81,5.00,24.97,121.54,56.80
2013.42,30.40,464.22,6.00,24.98,121.54,36.20
2012.83,12.50,561.98,5.00,24.99,121.54,42.00
